Gaddiel Morales
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,25565


Experiment #:,0
Rule:,0112132424441
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
5,8,,0.40800000000000003,0.5384615384615384,1.3778763364599875,1.5262349099495227,0.5696749999999999,
6,2,,0.36,0.46153846153846156,1.2806987130645784,1.4572659136233872,0.262945,
7,1,,0.33599999999999997,0.3846153846153846,1.2208607806914586,1.3346791410515946,0.0014199999999999768,
8,12,,0.32799999999999996,0.3076923076923077,1.2084537433271831,1.198183947911799,0.0014049999999999896,
9,7,,0.18400000000000005,0.23076923076923073,0.8704852273356841,0.9912642605354288,0.0012199999999999989,
10,9,,0.10399999999999998,0.15384615384615385,0.562600926890177,0.7732283485249176,0.0011200000000000099,
11,11,,0.07999999999999996,0.07692307692307687,0.4021791902022728,0.39124356362925566,0.0010900000000000354,
12,3,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,20
Rule:,0133342332114
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7768913116798344,2.133937566094917,0.99999,
1,11,,0.968,0.8461538461538461,1.8288131116452186,2.192005835492107,0.99985,
2,2,,0.92,0.7692307692307692,1.9809556823150367,2.2577560641285177,0.99967,
3,8,,0.8,0.6923076923076923,2.1694067980727523,2.2577560641285177,0.78862,
4,5,,0.656,0.6153846153846154,1.8772279424536003,2.133937566094917,0.570145,
5,7,,0.512,0.5384615384615384,1.7875270350030104,2.0458416408851736,0.49312999999999996,
6,9,,0.43200000000000005,0.46153846153846156,1.670037100681211,1.8810947601100747,0.30062,
7,4,,0.31200000000000006,0.3846153846153846,1.404840303688783,1.7004397181410922,0.24505,
8,3,,0.23199999999999998,0.3076923076923077,1.0346135019609675,1.3520301017579528,0.34974000000000005,
9,10,,0.18400000000000005,0.23076923076923073,0.837361123552614,1.1451104143815827,0.201785,
10,6,,0.03200000000000003,0.15384615384615385,0.23028557096297186,0.7732283485249176,0.20165,
11,1,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0010099999999999554,
